,id_start,id_end,distance
386,1001416,1001458,223.09999999999997
387,1001416,1001460,228.19999999999996
388,1001416,1001460,228.19999999999996
389,1001416,1001461,240.99999999999997
390,1001416,1001462,246.09999999999997
391,1001416,1001464,272.79999999999995
392,1001416,1001466,281.29999999999995
393,1001416,1001468,291.99999999999994
394,1001416,1001470,302.59999999999997
395,1001416,1001437,0.0
396,1001418,1001400,139.29999999999998
397,1001418,1001402,129.6
398,1001418,1001404,109.4
399,1001418,1001406,93.39999999999999
400,1001418,1001408,71.69999999999999
401,1001418,1001410,60.6
402,1001418,1001412,45.0
403,1001418,1001414,26.799999999999997
404,1001418,1001416,13.6
405,1001418,1001420,12.9
406,1001418,1001422,22.5
407,1001418,1001424,33.9
408,1001418,1001426,52.5
409,1001418,1001428,68.3
410,1001418,1001430,76.89999999999999
411,1001418,1001432,85.89999999999999
412,1001418,1001434,93.8
413,1001418,1001436,97.8
414,1001418,1001436,97.8
415,1001418,1001438,106.8
416,1001418,1001438,106.8
417,1001418,1001440,116.8
418,1001418,1001442,120.7
419,1001418,1001488,125.2
420,1001418,1004356,129.2
421,1001418,1004354,131.2
422,1001418,1004355,133.2
423,1001418,1001444,133.89999999999998
424,1001418,1001446,140.49999999999997
425,1001418,1001448,150.09999999999997
426,1001418,1001450,165.79999999999995
427,1001418,1001452,175.69999999999996
428,1001418,1001454,186.99999999999997
429,1001418,1001456,200.59999999999997
430,1001418,1001458,209.49999999999997
431,1001418,1001460,214.59999999999997
432,1001418,1001460,214.59999999999997
433,1001418,1001461,227.39999999999998
434,1001418,1001462,232.49999999999997
435,1001418,1001464,259.2
436,1001418,1001466,267.7
437,1001418,1001468,278.4
438,1001418,1001470,289.0
439,1001418,1001437,0.0
440,1001420,1001400,152.2
441,1001420,1001402,142.5
442,1001420,1001404,122.30000000000001
443,1001420,1001406,106.3
444,1001420,1001408,84.6
445,1001420,1001410,73.5
446,1001420,1001412,57.9
447,1001420,1001414,39.699999999999996
448,1001420,1001416,26.5
449,1001420,1001418,12.9
450,1001420,1001422,9.6
451,1001420,1001424,21.0
452,1001420,1001426,39.6
453,1001420,1001428,55.400000000000006
454,1001420,1001430,64.0
455,1001420,1001432,73.0
456,1001420,1001434,80.9
457,1001420,1001436,84.9
458,1001420,1001436,84.9
459,1001420,1001438,93.9
460,1001420,1001438,93.9
461,1001420,1001440,103.9
462,1001420,1001442,107.80000000000001
463,1001420,1001488,112.30000000000001
464,1001420,1004356,116.30000000000001
465,1001420,1004354,118.30000000000001
466,1001420,1004355,120.30000000000001
467,1001420,1001444,121.00000000000001
468,1001420,1001446,127.60000000000001
469,1001420,1001448,137.20000000000002
470,1001420,1001450,152.9
471,1001420,1001452,162.8
472,1001420,1001454,174.10000000000002
473,1001420,1001456,187.70000000000002
474,1001420,1001458,196.60000000000002
475,1001420,1001460,201.70000000000002
476,1001420,1001460,201.70000000000002
477,1001420,1001461,214.50000000000003
478,1001420,1001462,219.60000000000002
479,1001420,1001464,246.3
480,1001420,1001466,254.8
481,1001420,1001468,265.5
482,1001420,1001470,276.1
483,1001420,1001437,0.0
484,1001422,1001400,161.79999999999998
485,1001422,1001402,152.1
486,1001422,1001404,131.9
487,1001422,1001406,115.89999999999999
488,1001422,1001408,94.19999999999999
489,1001422,1001410,83.1
490,1001422,1001412,67.5
491,1001422,1001414,49.3
492,1001422,1001416,36.1
